lat: 24.993269, lng: 67.068647, accuracy:5.000000
lat: 24.993271, lng: 67.068701, accuracy:5.000000
lat: 24.993268, lng: 67.068768, accuracy:5.000000
lat: 24.993270, lng: 67.068827, accuracy:5.000000
lat: 24.993279, lng: 67.068897, accuracy:5.000000
lat: 24.993295, lng: 67.068946, accuracy:5.000000
lat: 24.993299, lng: 67.069003, accuracy:5.000000
lat: 24.993299, lng: 67.069060, accuracy:5.000000
lat: 24.993295, lng: 67.069120, accuracy:5.000000
lat: 24.993290, lng: 67.069173, accuracy:5.000000
lat: 24.993293, lng: 67.069233, accuracy:5.000000
lat: 24.993284, lng: 67.069297, accuracy:5.000000
lat: 24.993301, lng: 67.069327, accuracy:5.000000
lat: 24.993303, lng: 67.069378, accuracy:5.000000
lat: 24.993307, lng: 67.069433, accuracy:5.000000
lat: 24.993293, lng: 67.069500, accuracy:5.000000
lat: 24.993293, lng: 67.069527, accuracy:10.000000
lat: 24.993293, lng: 67.069578, accuracy:5.000000
lat: 24.993292, lng: 67.069613, accuracy:5.000000
lat: 24.993294, lng: 67.069665, accuracy:5.000000
lat: 24.993291, lng: 67.069701, accuracy:5.000000
lat: 24.993304, lng: 67.069742, accuracy:5.000000
lat: 24.993319, lng: 67.069786, accuracy:5.000000
lat: 24.993323, lng: 67.069822, accuracy:5.000000
lat: 24.993325, lng: 67.069853, accuracy:5.000000
lat: 24.993321, lng: 67.069899, accuracy:5.000000
lat: 24.993323, lng: 67.069918, accuracy:5.000000
lat: 24.993329, lng: 67.069939, accuracy:10.000000
lat: 24.993341, lng: 67.069930, accuracy:5.000000
lat: 24.993354, lng: 67.069934, accuracy:5.000000
lat: 24.993368, lng: 67.069950, accuracy:5.000000
lat: 24.993391, lng: 67.069965, accuracy:5.000000
lat: 24.993429, lng: 67.069975, accuracy:5.000000
lat: 24.993508, lng: 67.069938, accuracy:5.000000
lat: 24.993539, lng: 67.069960, accuracy:5.000000
lat: 24.993593, lng: 67.069967, accuracy:5.000000
lat: 24.993625, lng: 67.069969, accuracy:5.000000
lat: 24.993662, lng: 67.069972, accuracy:5.000000
lat: 24.993705, lng: 67.069975, accuracy:5.000000
lat: 24.993751, lng: 67.069972, accuracy:5.000000
lat: 24.993800, lng: 67.069972, accuracy:5.000000
lat: 24.993853, lng: 67.069970, accuracy:5.000000
lat: 24.993919, lng: 67.069962, accuracy:5.000000
lat: 24.993973, lng: 67.069958, accuracy:5.000000
lat: 24.994030, lng: 67.069944, accuracy:5.000000
lat: 24.994085, lng: 67.069942, accuracy:5.000000
lat: 24.994148, lng: 67.069940, accuracy:5.000000
lat: 24.994220, lng: 67.069936, accuracy:5.000000
lat: 24.994288, lng: 67.069913, accuracy:5.000000
lat: 24.994355, lng: 67.069904, accuracy:5.000000
lat: 24.994438, lng: 67.069909, accuracy:5.000000
lat: 24.994507, lng: 67.069911, accuracy:5.000000
lat: 24.994574, lng: 67.069894, accuracy:5.000000
lat: 24.994642, lng: 67.069887, accuracy:5.000000
lat: 24.994706, lng: 67.069882, accuracy:5.000000
lat: 24.994761, lng: 67.069881, accuracy:5.000000
lat: 24.994807, lng: 67.069879, accuracy:5.000000
lat: 24.994852, lng: 67.069876, accuracy:5.000000
lat: 24.994883, lng: 67.069879, accuracy:5.000000
lat: 24.994897, lng: 67.069877, accuracy:5.000000
lat: 24.994924, lng: 67.069860, accuracy:5.000000
lat: 24.994937, lng: 67.069859, accuracy:5.000000
lat: 24.994939, lng: 67.069854, accuracy:10.000000
lat: 24.994939, lng: 67.069857, accuracy:10.000000
lat: 24.994949, lng: 67.069862, accuracy:10.000000
lat: 24.994965, lng: 67.069855, accuracy:10.000000
lat: 24.994981, lng: 67.069845, accuracy:10.000000
lat: 24.995001, lng: 67.069826, accuracy:10.000000
lat: 24.995017, lng: 67.069799, accuracy:10.000000
lat: 24.995030, lng: 67.069768, accuracy:10.000000
lat: 24.995034, lng: 67.069732, accuracy:10.000000
lat: 24.995035, lng: 67.069699, accuracy:10.000000
