lat: 24.932923, lng: 67.094976, accuracy:10.000000
lat: 24.932966, lng: 67.095035, accuracy:10.000000
lat: 24.933012, lng: 67.095078, accuracy:10.000000
lat: 24.933047, lng: 67.095136, accuracy:10.000000
lat: 24.933090, lng: 67.095193, accuracy:10.000000
lat: 24.933132, lng: 67.095244, accuracy:10.000000
lat: 24.933168, lng: 67.095285, accuracy:10.000000
lat: 24.933210, lng: 67.095323, accuracy:10.000000
lat: 24.933221, lng: 67.095336, accuracy:10.000000
lat: 24.933235, lng: 67.095347, accuracy:10.000000
lat: 24.933256, lng: 67.095365, accuracy:10.000000
lat: 24.933273, lng: 67.095396, accuracy:10.000000
lat: 24.933294, lng: 67.095422, accuracy:10.000000
lat: 24.933322, lng: 67.095463, accuracy:10.000000
lat: 24.933344, lng: 67.095495, accuracy:10.000000
lat: 24.933359, lng: 67.095518, accuracy:10.000000
lat: 24.933376, lng: 67.095544, accuracy:10.000000
lat: 24.933396, lng: 67.095577, accuracy:10.000000
lat: 24.933418, lng: 67.095610, accuracy:10.000000
lat: 24.933441, lng: 67.095641, accuracy:10.000000
lat: 24.933464, lng: 67.095673, accuracy:10.000000
lat: 24.933489, lng: 67.095714, accuracy:10.000000
lat: 24.933513, lng: 67.095757, accuracy:10.000000
lat: 24.933542, lng: 67.095791, accuracy:10.000000
lat: 24.933569, lng: 67.095813, accuracy:10.000000
lat: 24.933589, lng: 67.095832, accuracy:10.000000
lat: 24.933596, lng: 67.095844, accuracy:10.000000
lat: 24.933597, lng: 67.095844, accuracy:10.000000
lat: 24.933599, lng: 67.095845, accuracy:10.000000
lat: 24.933599, lng: 67.095847, accuracy:10.000000
lat: 24.933599, lng: 67.095847, accuracy:10.000000
lat: 24.933599, lng: 67.095847, accuracy:10.000000
lat: 24.933599, lng: 67.095847, accuracy:10.000000
lat: 24.933595, lng: 67.095856, accuracy:10.000000
lat: 24.933595, lng: 67.095857, accuracy:10.000000
lat: 24.933595, lng: 67.095857, accuracy:10.000000
lat: 24.933595, lng: 67.095857, accuracy:10.000000
lat: 24.933595, lng: 67.095857, accuracy:10.000000
lat: 24.933595, lng: 67.095857, accuracy:10.000000
lat: 24.933595, lng: 67.095857, accuracy:10.000000
lat: 24.933595, lng: 67.095857, accuracy:10.000000
lat: 24.933609, lng: 67.095860, accuracy:10.000000
lat: 24.933609, lng: 67.095860, accuracy:10.000000
lat: 24.933609, lng: 67.095860, accuracy:10.000000
lat: 24.933614, lng: 67.095863, accuracy:10.000000
lat: 24.933614, lng: 67.095862, accuracy:10.000000
lat: 24.933613, lng: 67.095862, accuracy:10.000000
lat: 24.933612, lng: 67.095865, accuracy:10.000000
lat: 24.933610, lng: 67.095868, accuracy:10.000000
lat: 24.933606, lng: 67.095876, accuracy:10.000000
lat: 24.933595, lng: 67.095888, accuracy:10.000000
lat: 24.933582, lng: 67.095892, accuracy:10.000000
lat: 24.933568, lng: 67.095892, accuracy:10.000000
lat: 24.933554, lng: 67.095880, accuracy:10.000000
lat: 24.933542, lng: 67.095856, accuracy:10.000000
lat: 24.933531, lng: 67.095831, accuracy:10.000000
lat: 24.933520, lng: 67.095805, accuracy:10.000000
lat: 24.933502, lng: 67.095774, accuracy:10.000000
lat: 24.933482, lng: 67.095746, accuracy:10.000000
lat: 24.933468, lng: 67.095726, accuracy:10.000000
lat: 24.933460, lng: 67.095713, accuracy:10.000000
lat: 24.933445, lng: 67.095695, accuracy:10.000000
lat: 24.933433, lng: 67.095685, accuracy:10.000000
lat: 24.933422, lng: 67.095672, accuracy:10.000000
lat: 24.933421, lng: 67.095668, accuracy:10.000000
lat: 24.933423, lng: 67.095668, accuracy:10.000000
lat: 24.933422, lng: 67.095662, accuracy:10.000000
lat: 24.933421, lng: 67.095648, accuracy:10.000000
lat: 24.933428, lng: 67.095635, accuracy:10.000000
lat: 24.933434, lng: 67.095623, accuracy:10.000000
lat: 24.933439, lng: 67.095614, accuracy:10.000000
lat: 24.933444, lng: 67.095605, accuracy:10.000000
lat: 24.933454, lng: 67.095591, accuracy:10.000000
lat: 24.933470, lng: 67.095573, accuracy:10.000000
lat: 24.933495, lng: 67.095545, accuracy:10.000000
lat: 24.933540, lng: 67.095484, accuracy:10.000000
lat: 24.933573, lng: 67.095456, accuracy:10.000000
lat: 24.933609, lng: 67.095403, accuracy:10.000000
lat: 24.933657, lng: 67.095365, accuracy:10.000000
lat: 24.933700, lng: 67.095325, accuracy:10.000000
lat: 24.933727, lng: 67.095294, accuracy:10.000000
lat: 24.933770, lng: 67.095260, accuracy:10.000000
lat: 24.933805, lng: 67.095220, accuracy:10.000000
lat: 24.933845, lng: 67.095183, accuracy:10.000000
lat: 24.933876, lng: 67.095156, accuracy:10.000000
lat: 24.933901, lng: 67.095134, accuracy:10.000000
lat: 24.933920, lng: 67.095112, accuracy:10.000000
lat: 24.933948, lng: 67.095088, accuracy:10.000000
lat: 24.933977, lng: 67.095061, accuracy:10.000000
lat: 24.934018, lng: 67.095026, accuracy:10.000000
lat: 24.934061, lng: 67.094983, accuracy:10.000000
lat: 24.934110, lng: 67.094936, accuracy:10.000000
lat: 24.934154, lng: 67.094890, accuracy:10.000000
lat: 24.934212, lng: 67.094840, accuracy:10.000000
lat: 24.934263, lng: 67.094780, accuracy:10.000000
lat: 24.934320, lng: 67.094722, accuracy:10.000000
lat: 24.934385, lng: 67.094655, accuracy:10.000000
lat: 24.934439, lng: 67.094604, accuracy:10.000000
lat: 24.934492, lng: 67.094554, accuracy:10.000000
lat: 24.934552, lng: 67.094503, accuracy:10.000000
lat: 24.934600, lng: 67.094465, accuracy:10.000000
lat: 24.934629, lng: 67.094441, accuracy:10.000000
lat: 24.934662, lng: 67.094413, accuracy:10.000000
lat: 24.934693, lng: 67.094384, accuracy:10.000000
lat: 24.934736, lng: 67.094346, accuracy:10.000000
lat: 24.934787, lng: 67.094300, accuracy:10.000000
lat: 24.934843, lng: 67.094256, accuracy:10.000000
lat: 24.934896, lng: 67.094217, accuracy:10.000000
lat: 24.934940, lng: 67.094173, accuracy:10.000000
lat: 24.934991, lng: 67.094128, accuracy:10.000000
lat: 24.935037, lng: 67.094088, accuracy:10.000000
lat: 24.935069, lng: 67.094058, accuracy:10.000000
lat: 24.935101, lng: 67.094027, accuracy:10.000000
lat: 24.935132, lng: 67.093993, accuracy:10.000000
lat: 24.935160, lng: 67.093966, accuracy:10.000000
lat: 24.935199, lng: 67.093926, accuracy:10.000000
lat: 24.935242, lng: 67.093889, accuracy:10.000000
lat: 24.935277, lng: 67.093857, accuracy:10.000000
lat: 24.935295, lng: 67.093829, accuracy:10.000000
lat: 24.935324, lng: 67.093807, accuracy:10.000000
lat: 24.935349, lng: 67.093783, accuracy:10.000000
lat: 24.935377, lng: 67.093757, accuracy:10.000000
lat: 24.935405, lng: 67.093730, accuracy:10.000000
lat: 24.935430, lng: 67.093709, accuracy:10.000000
lat: 24.935456, lng: 67.093686, accuracy:10.000000
lat: 24.935487, lng: 67.093661, accuracy:10.000000
lat: 24.935522, lng: 67.093633, accuracy:10.000000
lat: 24.935556, lng: 67.093607, accuracy:10.000000
lat: 24.935589, lng: 67.093578, accuracy:10.000000
lat: 24.935617, lng: 67.093550, accuracy:10.000000
lat: 24.935645, lng: 67.093520, accuracy:10.000000
lat: 24.935671, lng: 67.093492, accuracy:10.000000
lat: 24.935692, lng: 67.093468, accuracy:10.000000
lat: 24.935707, lng: 67.093447, accuracy:10.000000
lat: 24.935720, lng: 67.093430, accuracy:10.000000
lat: 24.935741, lng: 67.093405, accuracy:10.000000
lat: 24.935766, lng: 67.093378, accuracy:10.000000
lat: 24.935791, lng: 67.093352, accuracy:10.000000
lat: 24.935824, lng: 67.093316, accuracy:10.000000
lat: 24.935856, lng: 67.093288, accuracy:10.000000
lat: 24.935889, lng: 67.093261, accuracy:10.000000
lat: 24.935916, lng: 67.093234, accuracy:10.000000
lat: 24.935939, lng: 67.093197, accuracy:10.000000
lat: 24.935955, lng: 67.093161, accuracy:10.000000
lat: 24.935965, lng: 67.093132, accuracy:10.000000
lat: 24.935986, lng: 67.093104, accuracy:10.000000
lat: 24.936020, lng: 67.093079, accuracy:10.000000
lat: 24.936051, lng: 67.093057, accuracy:10.000000
lat: 24.936079, lng: 67.093035, accuracy:10.000000
lat: 24.936105, lng: 67.093016, accuracy:10.000000
lat: 24.936134, lng: 67.092994, accuracy:10.000000
lat: 24.936167, lng: 67.092970, accuracy:10.000000
lat: 24.936198, lng: 67.092946, accuracy:10.000000
lat: 24.936227, lng: 67.092922, accuracy:10.000000
lat: 24.936241, lng: 67.092905, accuracy:10.000000
lat: 24.936256, lng: 67.092890, accuracy:10.000000
lat: 24.936278, lng: 67.092867, accuracy:10.000000
lat: 24.936300, lng: 67.092842, accuracy:10.000000
lat: 24.936318, lng: 67.092822, accuracy:10.000000
lat: 24.936354, lng: 67.092786, accuracy:10.000000
lat: 24.936384, lng: 67.092755, accuracy:10.000000
lat: 24.936412, lng: 67.092730, accuracy:10.000000
lat: 24.936427, lng: 67.092722, accuracy:10.000000
lat: 24.936452, lng: 67.092704, accuracy:10.000000
lat: 24.936482, lng: 67.092683, accuracy:10.000000
lat: 24.936520, lng: 67.092654, accuracy:10.000000
lat: 24.936556, lng: 67.092626, accuracy:10.000000
lat: 24.936588, lng: 67.092603, accuracy:10.000000
lat: 24.936618, lng: 67.092585, accuracy:10.000000
lat: 24.936644, lng: 67.092565, accuracy:10.000000
lat: 24.936671, lng: 67.092553, accuracy:10.000000
