lat: 31.520999, lng: 74.412631, accuracy:5.000000
lat: 31.521049, lng: 74.412632, accuracy:5.000000
lat: 31.521063, lng: 74.412681, accuracy:5.000000
lat: 31.521114, lng: 74.412629, accuracy:5.000000
lat: 31.521154, lng: 74.412673, accuracy:5.000000
lat: 31.521186, lng: 74.412582, accuracy:5.000000
lat: 31.521251, lng: 74.412582, accuracy:5.000000
lat: 31.521223, lng: 74.412623, accuracy:5.000000
lat: 31.521269, lng: 74.412633, accuracy:5.000000
lat: 31.521282, lng: 74.412630, accuracy:5.000000
lat: 31.521285, lng: 74.412622, accuracy:5.000000
lat: 31.521266, lng: 74.412562, accuracy:5.000000
lat: 31.521289, lng: 74.412603, accuracy:10.000000
lat: 31.521296, lng: 74.412615, accuracy:10.000000
lat: 31.521324, lng: 74.412623, accuracy:10.000000
lat: 31.521331, lng: 74.412634, accuracy:10.000000
lat: 31.521331, lng: 74.412634, accuracy:10.000000
lat: 31.521331, lng: 74.412634, accuracy:10.000000
lat: 31.521331, lng: 74.412634, accuracy:10.000000
lat: 31.521331, lng: 74.412634, accuracy:10.000000
lat: 31.521331, lng: 74.412634, accuracy:10.000000
lat: 31.521331, lng: 74.412634, accuracy:10.000000
lat: 31.521331, lng: 74.412634, accuracy:10.000000
lat: 31.521331, lng: 74.412634, accuracy:10.000000
lat: 31.521331, lng: 74.412634, accuracy:10.000000
lat: 31.521331, lng: 74.412634, accuracy:10.000000
lat: 31.521353, lng: 74.412645, accuracy:10.000000
lat: 31.521377, lng: 74.412648, accuracy:10.000000
lat: 31.521398, lng: 74.412650, accuracy:10.000000
lat: 31.521411, lng: 74.412652, accuracy:10.000000
lat: 31.521422, lng: 74.412653, accuracy:10.000000
lat: 31.521437, lng: 74.412655, accuracy:10.000000
lat: 31.521465, lng: 74.412656, accuracy:10.000000
lat: 31.521508, lng: 74.412658, accuracy:10.000000
lat: 31.521560, lng: 74.412658, accuracy:10.000000
lat: 31.521615, lng: 74.412658, accuracy:10.000000
lat: 31.521615, lng: 74.412658, accuracy:10.000000
lat: 31.521673, lng: 74.412658, accuracy:10.000000
lat: 31.521736, lng: 74.412660, accuracy:10.000000
lat: 31.521796, lng: 74.412669, accuracy:10.000000
lat: 31.521856, lng: 74.412669, accuracy:10.000000
lat: 31.521923, lng: 74.412676, accuracy:10.000000
lat: 31.521994, lng: 74.412682, accuracy:10.000000
lat: 31.522060, lng: 74.412694, accuracy:10.000000
lat: 31.522122, lng: 74.412715, accuracy:5.000000
lat: 31.522177, lng: 74.412737, accuracy:5.000000
lat: 31.522218, lng: 74.412756, accuracy:5.000000
lat: 31.522241, lng: 74.412763, accuracy:5.000000
lat: 31.522246, lng: 74.412771, accuracy:5.000000
lat: 31.522246, lng: 74.412771, accuracy:5.000000
lat: 31.522246, lng: 74.412771, accuracy:5.000000
lat: 31.522246, lng: 74.412771, accuracy:5.000000
lat: 31.522246, lng: 74.412771, accuracy:5.000000
lat: 31.522245, lng: 74.412772, accuracy:5.000000
lat: 31.522251, lng: 74.412773, accuracy:5.000000
lat: 31.522257, lng: 74.412776, accuracy:5.000000
lat: 31.522264, lng: 74.412779, accuracy:5.000000
lat: 31.522268, lng: 74.412780, accuracy:5.000000
lat: 31.522286, lng: 74.412785, accuracy:5.000000
lat: 31.522286, lng: 74.412785, accuracy:5.000000
lat: 31.522286, lng: 74.412785, accuracy:5.000000
lat: 31.522284, lng: 74.412783, accuracy:661.402288
lat: 31.522283, lng: 74.412781, accuracy:661.402323
lat: 31.522282, lng: 74.412779, accuracy:662.737321
lat: 31.522089, lng: 74.416357, accuracy:50.000000
lat: 31.522033, lng: 74.416361, accuracy:50.000000
lat: 31.520852, lng: 74.416357, accuracy:30.000000
lat: 31.520760, lng: 74.416369, accuracy:10.000000
lat: 31.520622, lng: 74.416388, accuracy:10.000000
lat: 31.520530, lng: 74.416383, accuracy:5.000000
lat: 31.520423, lng: 74.416385, accuracy:5.000000
lat: 31.520319, lng: 74.416390, accuracy:5.000000
lat: 31.520213, lng: 74.416393, accuracy:5.000000
lat: 31.520116, lng: 74.416392, accuracy:5.000000
lat: 31.520015, lng: 74.416385, accuracy:5.000000
lat: 31.519912, lng: 74.416382, accuracy:5.000000
lat: 31.519816, lng: 74.416372, accuracy:5.000000
lat: 31.519719, lng: 74.416357, accuracy:5.000000
lat: 31.519431, lng: 74.416280, accuracy:5.000000
lat: 31.519339, lng: 74.416242, accuracy:5.000000
lat: 31.519252, lng: 74.416192, accuracy:5.000000
lat: 31.519163, lng: 74.416142, accuracy:5.000000
