lat: 31.547638, lng: 74.292243, accuracy:5.000000
lat: 31.547624, lng: 74.292220, accuracy:5.000000
lat: 31.547611, lng: 74.292198, accuracy:5.000000
lat: 31.547595, lng: 74.292174, accuracy:5.000000
lat: 31.547577, lng: 74.292149, accuracy:5.000000
lat: 31.547559, lng: 74.292121, accuracy:5.000000
lat: 31.547541, lng: 74.292093, accuracy:5.000000
lat: 31.547525, lng: 74.292067, accuracy:5.000000
lat: 31.547515, lng: 74.292049, accuracy:5.000000
lat: 31.547506, lng: 74.292033, accuracy:5.000000
lat: 31.547500, lng: 74.291963, accuracy:5.000000
lat: 31.547466, lng: 74.291903, accuracy:5.000000
lat: 31.547442, lng: 74.291855, accuracy:5.000000
lat: 31.547432, lng: 74.291792, accuracy:5.000000
lat: 31.547411, lng: 74.291744, accuracy:5.000000
lat: 31.547396, lng: 74.291685, accuracy:10.000000
lat: 31.547415, lng: 74.291598, accuracy:5.000000
lat: 31.547436, lng: 74.291576, accuracy:10.000000
lat: 31.547456, lng: 74.291541, accuracy:10.000000
lat: 31.547464, lng: 74.291533, accuracy:5.000000
lat: 31.547465, lng: 74.291530, accuracy:5.000000
lat: 31.547470, lng: 74.291526, accuracy:5.000000
lat: 31.547478, lng: 74.291521, accuracy:5.000000
lat: 31.547487, lng: 74.291517, accuracy:5.000000
lat: 31.547497, lng: 74.291511, accuracy:5.000000
lat: 31.547504, lng: 74.291503, accuracy:5.000000
lat: 31.547511, lng: 74.291495, accuracy:5.000000
lat: 31.547517, lng: 74.291487, accuracy:5.000000
lat: 31.547526, lng: 74.291472, accuracy:5.000000
lat: 31.547538, lng: 74.291454, accuracy:5.000000
lat: 31.547551, lng: 74.291440, accuracy:5.000000
lat: 31.547565, lng: 74.291427, accuracy:5.000000
lat: 31.547580, lng: 74.291408, accuracy:5.000000
lat: 31.547597, lng: 74.291376, accuracy:5.000000
lat: 31.547612, lng: 74.291327, accuracy:5.000000
lat: 31.547622, lng: 74.291270, accuracy:5.000000
lat: 31.547623, lng: 74.291211, accuracy:5.000000
lat: 31.547614, lng: 74.291146, accuracy:5.000000
lat: 31.547588, lng: 74.291074, accuracy:5.000000
lat: 31.547560, lng: 74.291008, accuracy:5.000000
lat: 31.547531, lng: 74.290949, accuracy:5.000000
lat: 31.547507, lng: 74.290893, accuracy:10.000000
lat: 31.547509, lng: 74.290845, accuracy:10.000000
lat: 31.547537, lng: 74.290800, accuracy:10.000000
lat: 31.547590, lng: 74.290781, accuracy:10.000000
lat: 31.547657, lng: 74.290784, accuracy:10.000000
lat: 31.547729, lng: 74.290799, accuracy:10.000000
lat: 31.547807, lng: 74.290817, accuracy:10.000000
lat: 31.547896, lng: 74.290833, accuracy:10.000000
lat: 31.547994, lng: 74.290847, accuracy:10.000000
lat: 31.548134, lng: 74.290856, accuracy:10.000000
lat: 31.548226, lng: 74.290841, accuracy:10.000000
lat: 31.548310, lng: 74.290829, accuracy:10.000000
lat: 31.548393, lng: 74.290807, accuracy:10.000000
lat: 31.548448, lng: 74.290735, accuracy:10.000000
lat: 31.548515, lng: 74.290686, accuracy:10.000000
lat: 31.548574, lng: 74.290604, accuracy:10.000000
lat: 31.548597, lng: 74.290429, accuracy:10.000000
lat: 31.548630, lng: 74.290302, accuracy:10.000000
lat: 31.548680, lng: 74.290181, accuracy:10.000000
lat: 31.548704, lng: 74.290056, accuracy:10.000000
lat: 31.548755, lng: 74.289934, accuracy:10.000000
lat: 31.548779, lng: 74.289808, accuracy:10.000000
lat: 31.548807, lng: 74.289671, accuracy:10.000000
lat: 31.548820, lng: 74.289546, accuracy:10.000000
lat: 31.548845, lng: 74.289432, accuracy:10.000000
lat: 31.548875, lng: 74.289310, accuracy:10.000000
lat: 31.548907, lng: 74.289163, accuracy:10.000000
lat: 31.548934, lng: 74.289042, accuracy:10.000000
lat: 31.548952, lng: 74.288907, accuracy:10.000000
lat: 31.548977, lng: 74.288793, accuracy:10.000000
lat: 31.548990, lng: 74.288667, accuracy:10.000000
lat: 31.549012, lng: 74.288528, accuracy:10.000000
lat: 31.549035, lng: 74.288407, accuracy:10.000000
lat: 31.549068, lng: 74.288293, accuracy:10.000000
lat: 31.549102, lng: 74.288199, accuracy:10.000000
lat: 31.549146, lng: 74.288104, accuracy:10.000000
lat: 31.549173, lng: 74.288005, accuracy:10.000000
lat: 31.549200, lng: 74.287922, accuracy:10.000000
lat: 31.549222, lng: 74.287828, accuracy:10.000000
lat: 31.549246, lng: 74.287732, accuracy:10.000000
lat: 31.549265, lng: 74.287636, accuracy:10.000000
lat: 31.549307, lng: 74.287535, accuracy:10.000000
lat: 31.549340, lng: 74.287441, accuracy:10.000000
lat: 31.549376, lng: 74.287341, accuracy:10.000000
lat: 31.549408, lng: 74.287233, accuracy:10.000000
lat: 31.549449, lng: 74.287137, accuracy:10.000000
lat: 31.549503, lng: 74.287016, accuracy:10.000000
lat: 31.549558, lng: 74.286878, accuracy:10.000000
lat: 31.549596, lng: 74.286740, accuracy:10.000000
lat: 31.549656, lng: 74.286600, accuracy:10.000000
lat: 31.549692, lng: 74.286462, accuracy:10.000000
lat: 31.549732, lng: 74.286324, accuracy:10.000000
lat: 31.549778, lng: 74.286189, accuracy:10.000000
lat: 31.549811, lng: 74.286023, accuracy:10.000000
lat: 31.549844, lng: 74.285881, accuracy:10.000000
lat: 31.549871, lng: 74.285741, accuracy:10.000000
lat: 31.549903, lng: 74.285601, accuracy:10.000000
lat: 31.549936, lng: 74.285455, accuracy:10.000000
lat: 31.549963, lng: 74.285335, accuracy:10.000000
lat: 31.549972, lng: 74.285209, accuracy:10.000000
lat: 31.549995, lng: 74.285101, accuracy:10.000000
lat: 31.549996, lng: 74.284982, accuracy:10.000000
lat: 31.550004, lng: 74.284857, accuracy:10.000000
lat: 31.549999, lng: 74.284738, accuracy:10.000000
lat: 31.550012, lng: 74.284597, accuracy:10.000000
lat: 31.550022, lng: 74.284484, accuracy:10.000000
lat: 31.550026, lng: 74.284371, accuracy:10.000000
lat: 31.550025, lng: 74.284257, accuracy:10.000000
lat: 31.550027, lng: 74.284146, accuracy:10.000000
lat: 31.550033, lng: 74.284022, accuracy:10.000000
lat: 31.550070, lng: 74.283893, accuracy:10.000000
lat: 31.550058, lng: 74.283765, accuracy:10.000000
lat: 31.550061, lng: 74.283634, accuracy:10.000000
lat: 31.550050, lng: 74.283514, accuracy:10.000000
lat: 31.550038, lng: 74.283396, accuracy:10.000000
lat: 31.550049, lng: 74.283278, accuracy:10.000000
lat: 31.550032, lng: 74.283179, accuracy:10.000000
lat: 31.550035, lng: 74.283084, accuracy:10.000000
lat: 31.550054, lng: 74.282976, accuracy:10.000000
lat: 31.550045, lng: 74.282872, accuracy:10.000000
lat: 31.550037, lng: 74.282774, accuracy:10.000000
lat: 31.550042, lng: 74.282666, accuracy:10.000000
lat: 31.550043, lng: 74.282547, accuracy:10.000000
lat: 31.550076, lng: 74.282400, accuracy:10.000000
lat: 31.550058, lng: 74.282253, accuracy:10.000000
lat: 31.550053, lng: 74.282130, accuracy:10.000000
lat: 31.550064, lng: 74.282001, accuracy:10.000000
lat: 31.550055, lng: 74.281879, accuracy:10.000000
lat: 31.550049, lng: 74.281753, accuracy:10.000000
lat: 31.550045, lng: 74.281638, accuracy:10.000000
lat: 31.550059, lng: 74.281513, accuracy:10.000000
lat: 31.550075, lng: 74.281380, accuracy:10.000000
lat: 31.550078, lng: 74.281256, accuracy:10.000000
lat: 31.550051, lng: 74.281148, accuracy:10.000000
lat: 31.550038, lng: 74.281056, accuracy:10.000000
lat: 31.550012, lng: 74.280943, accuracy:10.000000
lat: 31.550001, lng: 74.280803, accuracy:10.000000
lat: 31.550048, lng: 74.280652, accuracy:10.000000
lat: 31.550076, lng: 74.280502, accuracy:10.000000
lat: 31.550073, lng: 74.280363, accuracy:10.000000
lat: 31.550103, lng: 74.280224, accuracy:10.000000
lat: 31.550102, lng: 74.280125, accuracy:10.000000
lat: 31.550124, lng: 74.280021, accuracy:10.000000
lat: 31.550096, lng: 74.279904, accuracy:10.000000
lat: 31.550099, lng: 74.279780, accuracy:10.000000
lat: 31.550085, lng: 74.279643, accuracy:10.000000
lat: 31.550063, lng: 74.279486, accuracy:10.000000
lat: 31.550059, lng: 74.279349, accuracy:10.000000
lat: 31.550066, lng: 74.279192, accuracy:10.000000
lat: 31.550067, lng: 74.279036, accuracy:10.000000
lat: 31.550083, lng: 74.278875, accuracy:10.000000
lat: 31.550071, lng: 74.278736, accuracy:10.000000
lat: 31.550062, lng: 74.278584, accuracy:10.000000
lat: 31.550080, lng: 74.278436, accuracy:10.000000
lat: 31.550080, lng: 74.278281, accuracy:10.000000
lat: 31.550098, lng: 74.278117, accuracy:10.000000
lat: 31.550077, lng: 74.277983, accuracy:10.000000
lat: 31.550112, lng: 74.277830, accuracy:10.000000
lat: 31.550125, lng: 74.277729, accuracy:10.000000
lat: 31.550127, lng: 74.277671, accuracy:10.000000
lat: 31.550122, lng: 74.277580, accuracy:10.000000
lat: 31.550127, lng: 74.277476, accuracy:10.000000
lat: 31.550128, lng: 74.277361, accuracy:10.000000
lat: 31.550120, lng: 74.277239, accuracy:10.000000
lat: 31.550115, lng: 74.277118, accuracy:10.000000
lat: 31.550126, lng: 74.276996, accuracy:10.000000
lat: 31.550141, lng: 74.276887, accuracy:10.000000
lat: 31.550134, lng: 74.276783, accuracy:10.000000
lat: 31.550115, lng: 74.276685, accuracy:10.000000
lat: 31.550107, lng: 74.276569, accuracy:10.000000
lat: 31.550112, lng: 74.276442, accuracy:10.000000
lat: 31.550105, lng: 74.276321, accuracy:10.000000
lat: 31.550125, lng: 74.276178, accuracy:10.000000
lat: 31.550127, lng: 74.276052, accuracy:10.000000
lat: 31.550123, lng: 74.275922, accuracy:10.000000
lat: 31.550108, lng: 74.275795, accuracy:10.000000
lat: 31.550107, lng: 74.275644, accuracy:10.000000
lat: 31.550104, lng: 74.275499, accuracy:10.000000
lat: 31.550125, lng: 74.275339, accuracy:10.000000
lat: 31.550133, lng: 74.275175, accuracy:10.000000
lat: 31.550152, lng: 74.275001, accuracy:10.000000
lat: 31.550167, lng: 74.274838, accuracy:10.000000
lat: 31.550162, lng: 74.274662, accuracy:10.000000
lat: 31.550172, lng: 74.274501, accuracy:10.000000
lat: 31.550180, lng: 74.274340, accuracy:10.000000
lat: 31.550193, lng: 74.274177, accuracy:10.000000
lat: 31.550194, lng: 74.274020, accuracy:10.000000
lat: 31.550206, lng: 74.273882, accuracy:10.000000
lat: 31.550215, lng: 74.273741, accuracy:10.000000
lat: 31.550207, lng: 74.273622, accuracy:10.000000
lat: 31.550208, lng: 74.273513, accuracy:10.000000
lat: 31.550208, lng: 74.273419, accuracy:10.000000
lat: 31.550222, lng: 74.273319, accuracy:10.000000
lat: 31.550233, lng: 74.273212, accuracy:10.000000
lat: 31.550232, lng: 74.273103, accuracy:10.000000
lat: 31.550248, lng: 74.272987, accuracy:10.000000
